Date,Price,Open,High,Low,Vol.,Change %
10/19/2021,188.80,185.60,191.40,183.60,598.59K,1.72%
10/18/2021,185.60,183.80,187.40,178.90,592.02K,1.03%
10/17/2021,183.70,186.10,187.90,177.50,475.58K,-1.13%
10/16/2021,185.80,189.70,192.50,185.10,576.54K,-1.95%
10/15/2021,189.50,181.40,192.80,176.40,1.14M,4.93%
10/14/2021,180.60,177.80,185.80,177.00,744.10K,1.75%
10/13/2021,177.50,172.60,179.60,167.80,657.94K,2.90%
10/12/2021,172.50,179.20,179.20,166.60,708.18K,-3.79%
10/11/2021,179.30,174.60,185.10,173.30,679.60K,2.57%
10/10/2021,174.80,179.90,183.80,174.20,560.03K,-2.78%
10/9/2021,179.80,176.00,182.80,174.80,445.76K,2.28%
10/8/2021,175.80,178.60,183.00,174.80,697.48K,-1.51%
10/7/2021,178.50,178.60,186.90,173.50,866.68K,0.06%
10/6/2021,178.40,173.80,182.80,164.10,967.90K,2.65%
10/5/2021,173.80,167.50,175.20,166.70,622.79K,3.76%
10/4/2021,167.50,170.50,170.80,161.50,586.62K,-1.70%
10/3/2021,170.40,169.00,175.00,165.90,437.12K,0.83%
10/2/2021,169.00,166.20,172.60,164.70,427.76K,1.68%
10/1/2021,166.20,153.20,168.10,151.30,701.43K,8.41%
9/30/2021,153.30,144.60,154.30,143.90,505.88K,5.80%
9/29/2021,144.90,140.50,150.20,140.00,505.22K,3.13%
9/28/2021,140.50,145.10,148.80,140.10,551.94K,-3.10%
9/27/2021,145.00,150.60,154.90,145.00,463.38K,-3.85%
9/26/2021,150.80,151.10,153.30,142.10,837.75K,-0.07%
9/25/2021,150.90,152.10,155.80,148.90,622.47K,-0.79%
9/24/2021,152.10,163.80,166.40,141.90,1.24M,-7.14%
9/23/2021,163.80,161.40,164.80,157.30,559.48K,1.42%
9/22/2021,161.50,148.50,161.80,145.40,823.32K,8.90%
9/21/2021,148.30,156.90,162.10,145.00,988.03K,-5.54%
9/20/2021,157.00,175.90,175.90,153.80,1.30M,-10.59%
9/19/2021,175.60,181.30,181.70,172.80,364.83K,-3.25%
9/18/2021,181.50,180.00,184.90,178.00,372.28K,0.95%
9/17/2021,179.80,185.50,190.20,178.10,566.63K,-2.92%
9/16/2021,185.20,189.10,194.80,181.70,935.29K,-2.06%
9/15/2021,189.10,182.80,191.50,179.80,745.79K,3.45%
9/14/2021,182.80,179.50,188.10,176.30,1.09M,1.90%
9/13/2021,179.40,183.10,233.90,171.00,5.44M,-2.07%
9/12/2021,183.20,178.40,186.00,175.20,564.71K,2.63%
9/11/2021,178.50,174.20,186.10,173.40,552.00K,2.53%
9/10/2021,174.10,180.30,187.20,170.80,721.10K,-3.44%
9/9/2021,180.30,179.80,188.60,176.90,896.69K,0.45%
9/8/2021,179.50,178.20,188.50,169.60,1.42M,0.90%
9/7/2021,177.90,219.50,221.70,163.30,2.03M,-18.92%
9/6/2021,219.40,232.30,232.30,215.10,1.00M,-5.55%
9/5/2021,232.30,212.10,232.30,210.50,1.01M,9.73%
9/4/2021,211.70,212.90,224.90,208.70,1.45M,-0.56%
9/3/2021,212.90,183.30,217.70,180.00,2.07M,16.09%
9/2/2021,183.40,180.90,187.90,179.50,683.56K,1.38%
9/1/2021,180.90,171.40,182.60,168.90,692.44K,5.42%
8/31/2021,171.60,167.40,175.30,165.70,553.54K,2.57%
8/30/2021,167.30,174.40,176.20,166.60,468.12K,-4.02%
8/29/2021,174.30,175.50,182.50,173.10,547.39K,-0.68%
8/28/2021,175.50,176.20,177.00,171.40,316.68K,-0.34%
8/27/2021,176.10,167.70,176.10,165.20,455.85K,5.07%
8/26/2021,167.60,177.63,180.11,165.40,568.72K,-5.76%
8/25/2021,177.84,173.33,178.86,169.25,618.10K,2.47%
8/24/2021,173.56,186.81,188.46,172.70,780.57K,-7.29%
8/23/2021,187.21,185.90,191.31,183.80,877.26K,0.69%
8/22/2021,185.92,179.57,189.56,178.65,935.88K,3.57%
8/21/2021,179.52,183.59,184.36,176.81,644.26K,-2.18%
8/20/2021,183.53,175.56,183.98,174.27,708.40K,4.47%
8/19/2021,175.68,166.65,175.68,162.70,682.24K,5.27%
8/18/2021,166.88,168.58,174.42,163.13,695.00K,-1.06%
8/17/2021,168.67,177.95,184.34,168.09,780.75K,-5.27%
8/16/2021,178.05,184.86,188.96,176.67,898.20K,-3.55%
8/15/2021,184.61,183.18,186.41,175.76,948.65K,0.96%
8/14/2021,182.85,183.39,184.96,175.22,944.58K,-0.24%
8/13/2021,183.29,165.45,184.42,164.00,1.12M,10.85%
8/12/2021,165.35,170.57,179.65,160.83,987.37K,-3.19%
8/11/2021,170.80,165.38,176.00,164.31,914.53K,3.29%
8/10/2021,165.36,166.42,168.25,158.81,894.83K,-0.64%
8/9/2021,166.43,149.88,170.70,145.30,1.17M,11.17%
8/8/2021,149.71,155.90,157.54,147.17,700.14K,-4.07%
8/7/2021,156.06,148.01,156.32,147.19,878.57K,5.64%
8/6/2021,147.73,143.61,150.61,141.80,685.94K,2.96%
8/5/2021,143.48,142.67,145.12,136.30,615.05K,0.64%
8/4/2021,142.57,138.49,144.47,135.61,486.49K,2.98%
8/3/2021,138.44,141.27,143.19,135.74,402.80K,-2.07%
8/2/2021,141.37,140.28,145.78,139.05,419.95K,0.71%
8/1/2021,140.38,144.39,149.72,138.66,587.86K,-2.84%
7/31/2021,144.49,145.56,146.49,141.90,385.29K,-0.71%
7/30/2021,145.52,141.43,145.83,135.94,605.84K,2.99%
7/29/2021,141.29,140.14,142.96,136.97,544.09K,0.64%
7/28/2021,140.39,134.72,141.95,132.57,730.00K,4.22%
7/27/2021,134.71,131.04,135.07,127.45,607.09K,2.72%
7/26/2021,131.14,127.71,140.29,126.97,1.05M,2.77%
7/25/2021,127.60,126.75,127.96,123.81,392.96K,1.62%
7/24/2021,125.56,124.50,127.39,123.90,422.39K,1.11%
7/23/2021,124.18,120.69,124.67,117.17,404.03K,2.89%
7/22/2021,120.69,117.57,121.94,115.77,464.78K,2.59%
7/21/2021,117.64,107.21,119.02,105.27,682.15K,9.67%
7/20/2021,107.27,113.13,114.93,103.87,766.19K,-5.08%
7/19/2021,113.01,119.27,120.71,111.92,492.99K,-5.22%
7/18/2021,119.24,119.88,124.00,116.63,430.97K,-0.53%
7/17/2021,119.87,120.59,122.81,117.72,425.86K,-0.68%
7/16/2021,120.69,125.92,127.70,120.52,421.90K,-3.96%
7/15/2021,125.67,131.23,133.07,122.15,494.28K,-4.12%
7/14/2021,131.07,131.55,132.30,124.09,538.92K,-0.26%
7/13/2021,131.41,133.29,134.48,129.64,454.86K,-1.48%
7/12/2021,133.38,134.19,139.71,132.06,670.89K,-0.60%
7/11/2021,134.19,134.32,136.44,132.12,324.99K,0.14%
7/10/2021,134.00,134.42,136.67,130.59,365.87K,-0.31%
7/9/2021,134.42,127.75,135.73,126.39,527.81K,1.64%
7/8/2021,132.25,137.29,137.69,127.92,646.15K,-3.74%
7/7/2021,137.39,138.87,142.89,136.96,520.82K,-0.71%
7/6/2021,138.37,137.75,142.40,136.83,569.84K,0.37%
7/5/2021,137.86,144.80,144.80,136.04,561.80K,-4.86%
7/4/2021,144.90,143.96,147.86,143.81,443.91K,3.49%
7/3/2021,140.02,136.96,140.16,135.26,341.80K,2.32%
7/2/2021,136.84,137.14,137.18,130.87,466.90K,-0.24%
7/1/2021,137.17,144.16,144.16,135.76,539.56K,-4.86%
6/30/2021,144.17,144.43,146.78,137.24,630.02K,0.36%
6/29/2021,143.66,138.21,148.44,138.21,897.64K,4.36%
6/28/2021,137.66,132.38,138.36,130.50,703.68K,3.89%
6/27/2021,132.50,126.56,132.50,126.25,573.36K,4.50%
6/26/2021,126.80,124.78,127.85,120.59,872.09K,1.08%
6/25/2021,125.44,134.69,137.13,125.44,764.05K,-6.71%
6/24/2021,134.46,128.96,136.76,124.56,660.56K,4.25%
6/23/2021,128.98,118.98,130.15,118.98,1.02M,7.98%
6/22/2021,119.45,124.51,130.45,112.78,2.26M,-4.21%
6/21/2021,124.70,155.02,155.02,124.70,1.49M,-19.46%
6/20/2021,154.83,152.48,155.59,146.84,611.34K,1.34%
