Date,Price,Open,High,Low,Vol.,Change %
7/17/2021,0.19,0.17,0.20,0.17,2.57B,8.30%
7/16/2021,0.17,0.19,0.19,0.17,1.19B,-7.22%
7/15/2021,0.19,0.20,0.20,0.18,966.43M,-6.31%
7/14/2021,0.20,0.20,0.20,0.19,1.25B,-1.09%
7/13/2021,0.20,0.21,0.21,0.20,916.43M,-3.84%
7/12/2021,0.21,0.22,0.22,0.20,805.07M,-3.61%
7/11/2021,0.22,0.21,0.22,0.21,551.52M,0.96%
7/10/2021,0.21,0.22,0.23,0.21,920.59M,-2.69%
7/9/2021,0.22,0.20,0.23,0.20,2.29B,5.74%
7/8/2021,0.21,0.22,0.22,0.21,1.49B,-7.32%
7/7/2021,0.22,0.23,0.24,0.22,951.87M,-4.06%
7/6/2021,0.23,0.23,0.24,0.23,1.05B,1.04%
7/5/2021,0.23,0.25,0.25,0.23,1.18B,-6.21%
7/4/2021,0.25,0.25,0.25,0.25,822.94M,-0.56%
7/3/2021,0.25,0.25,0.25,0.24,707.47M,1.16%
7/2/2021,0.25,0.24,0.25,0.24,1.08B,0.27%
7/1/2021,0.24,0.25,0.25,0.24,2.25B,-3.78%
6/30/2021,0.25,0.26,0.26,0.24,1.61B,-3.30%
6/29/2021,0.26,0.26,0.27,0.26,1.93B,2.19%
6/28/2021,0.26,0.26,0.26,0.25,1.74B,-2.68%
6/27/2021,0.26,0.25,0.26,0.24,1.97B,7.98%
6/26/2021,0.24,0.24,0.25,0.24,2.65B,2.84%
6/25/2021,0.24,0.27,0.28,0.24,5.94B,-9.64%
6/24/2021,0.26,0.23,0.26,0.22,3.58B,11.84%
6/23/2021,0.24,0.19,0.24,0.19,5.84B,23.61%
6/22/2021,0.19,0.18,0.21,0.18,7.52B,5.98%
6/21/2021,0.18,0.28,0.28,0.18,7.02B,-35.89%
6/20/2021,0.28,0.29,0.29,0.26,1.53B,-2.07%
6/19/2021,0.29,0.29,0.30,0.29,624.70M,-2.26%
6/18/2021,0.29,0.31,0.31,0.29,1.31B,-4.36%
